Ticker,Company Name,Region,Credit Rating,GICS Sector,Closing Price,Div/Share Avg Growth 1Y,Div/Share Avg Growth 3Y,Div/Share Avg Growth 5Y,Dividend Yield,Est EPS Growth,Current Valuation,P/E,P/OCF(FFO),P/FCFE(AFFO)
BKR:US,BAKER HUGHES CO,US,A,Energy,60.38,9.52%,8.02%,5.09%,1.52%,8.32%,55.27%,23.29x,16.08x,23.94x
BLK:US,BLACKROCK INC,US,AA-,Financials,966.56,2.16%,2.21%,7.71%,2.37%,13.59%,30.13%,19.52x,28.09x,32.36x
BMY:US,BRISTOL MYERS SQUIBB CO,US,A,Health Care,59.60,3.33%,4.72%,6.65%,4.23%,-4.63%,-35.77%,9.63x,8.49x,9.31x
BR:US,BROADRIDGE FINANCIAL SOLUTIONS INC,US,BBB,Industrials,160.93,10.00%,11.21%,10.28%,2.42%,9.23%,15.76%,17.36x,14.49x,15.13x
BRK.B:US,BERKSHIRE HATHAWAY INC,US,AA,Financials,477.35,,,,,3.99%,53.63%,23.04x,,
BSX:US,BOSTON SCIENTIFIC CORP,US,A-,Health Care,62.82,,,,,13.08%,32.60%,19.89x,20.39x,25.30x
BWA:US,BORGWARNER INC,US,BBB+,Consumer Discretionary,52.83,27.27%,-0.39%,-0.24%,1.29%,9.26%,-29.27%,10.61x,6.81x,9.98x
BXP:US,BXP INC,US,BBB,Real Estate,51.78,-14.29%,-4.76%,-2.86%,5.41%,4.58%,103.40%,30.51x,7.53x,11.96x
C:US,CITIGROUP INC,US,BBB+,Financials,115.25,6.42%,4.40%,2.64%,2.08%,24.44%,-39.79%,14.72x,,
CAG:US,CONAGRA BRANDS INC,US,BBB-,Consumer Staples,15.72,,3.89%,10.84%,8.91%,-0.24%,-41.68%,8.75x,5.61x,8.06x
CAH:US,CARDINAL HEALTH INC,US,BBB,Health Care,214.05,1.00%,1.00%,1.00%,0.95%,13.58%,45.42%,21.81x,14.59x,18.92x
CARR:US,CARRIER GLOBAL CORP,US,BBB+,Industrials,55.71,-15.09%,2.98%,23.12%,1.72%,12.06%,40.56%,21.08x,18.97x,22.60x
CAT:US,CATERPILLAR INC,US,A,Industrials,717.22,7.75%,8.13%,7.24%,0.84%,19.09%,87.61%,35.81x,28.30x,43.50x
CB:US,CHUBB LTD,US,A,Financials,328.33,6.41%,5.11%,4.34%,1.18%,9.19%,-13.66%,12.95x,8.75x,11.97x
CBOE:US,CBOE GLOBAL MARKETS INC,US,A-,Financials,289.95,14.41%,11.31%,11.64%,0.99%,9.32%,76.41%,26.46x,24.54x,26.20x
CBRE:US,CBRE GROUP INC,US,BBB+,Real Estate,136.60,,,,,15.43%,32.74%,20.48x,23.85x,30.51x
CCI:US,CROWN CASTLE INC,US,BBB,Real Estate,84.78,-24.08%,-6.44%,0.17%,5.01%,36.90%,78.48%,65.86x,19.34x,19.34x
CCL:US,CARNIVAL CORP,US,BB+,Consumer Discretionary,25.64,,,-100.00%,2.34%,12.21%,-23.57%,11.46x,5.69x,12.28x
CDNS:US,CADENCE DESIGN SYSTEMS INC,US,A-,Information Technology,278.72,,,,,13.97%,151.71%,37.76x,42.37x,46.49x
CDW:US,CDW CORP,US,BBB-,Information Technology,122.01,0.81%,6.38%,10.49%,2.07%,7.05%,-19.86%,12.02x,13.10x,14.29x
CE:US,CELANESE CORP,US,BB,Materials,64.06,-95.71%,-31.18%,-16.62%,0.19%,24.13%,-37.21%,15.15x,6.26x,9.02x
CEG:US,CONSTELLATION ENERGY CORP,US,,Utilities,272.82,10.01%,45.01%,45.01%,0.63%,20.93%,30.50%,27.32x,16.91x,42.20x
CF:US,CF INDUSTRIES HOLDINGS INC,US,BBB,Materials,129.97,,10.56%,11.33%,1.54%,-6.40%,-7.26%,13.91x,7.67x,11.94x
CFG:US,CITIZENS FINANCIAL GROUP INC /RI/,US,BBB+,Financials,60.99,2.38%,2.03%,1.99%,3.02%,21.87%,-33.24%,14.60x,,
CHD:US,CHURCH & DWIGHT CO INC,US,BBB+,Consumer Staples,92.85,3.97%,3.97%,4.21%,1.32%,7.08%,72.52%,25.88x,18.72x,21.08x
CHRW:US,ROBINSON CH WORLDWIDE INC,US,BBB+,Industrials,167.84,1.22%,3.34%,4.12%,1.50%,16.02%,96.08%,31.40x,22.80x,23.70x
CHTR:US,CHARTER COMMUNICATIONS INC,US,BB+,Communication Services,219.79,,,,,14.40%,-61.41%,5.79x,1.83x,6.43x
CI:US,CIGNA GROUP,US,A-,Health Care,270.02,7.86%,10.50%,"1,988.70%",2.31%,7.98%,-39.91%,9.01x,7.52x,8.49x
CINF:US,CINCINNATI FINANCIAL CORP,US,BBB+,Financials,158.41,7.41%,8.03%,7.73%,2.37%,7.70%,30.66%,19.60x,8.49x,10.01x
CL:US,COLGATE PALMOLIVE CO,US,A+,Consumer Staples,85.14,4.04%,3.46%,3.32%,2.49%,6.40%,52.04%,22.81x,16.79x,19.60x
CLX:US,CLOROX CO,US,BBB,Consumer Staples,101.14,1.67%,1.70%,2.86%,4.90%,5.62%,5.67%,15.85x,15.22x,18.96x
CMA:US,COMERICA INC,US,NR,,88.67,,1.47%,0.88%,3.20%,9.03%,11.34%,16.70x,,
CMCSA:US,COMCAST CORP,US,A-,Communication Services,27.93,6.56%,7.04%,7.64%,4.73%,0.55%,-29.33%,6.79x,3.37x,5.52x
CME:US,CME GROUP INC,US,AA-,Financials,305.11,-51.92%,-10.21%,1.91%,1.66%,7.19%,78.63%,26.80x,25.20x,26.94x
CMG:US,CHIPOTLE MEXICAN GRILL INC,US,,Consumer Discretionary,33.16,,,,,12.80%,90.17%,28.53x,21.04x,31.52x
